iD;molecularFormula;adduct;NPC#pathway;NPC#pathway Probability;NPC#superclass;NPC#superclass Probability;NPC#class;NPC#class Probability;ClassyFire#most specific class;ClassyFire#most specific class Probability;ClassyFire#level 5;ClassyFire#level 5 Probability;ClassyFire#subclass;ClassyFire#subclass Probability;ClassyFire#class;ClassyFire#class Probability;ClassyFire#superclass;ClassyFire#superclass probability;ClassyFire#all classifications
776;C22H41NO2;[M + H]+;Fatty acids;9.85855E+15;Fatty amides;9.61105E+15;N-acyl ethanolamines (endocannabinoids);7.02381E+15;N-acyl amines;7.94601E+15;N-acyl amines;7.94601E+15;Fatty amides;9.62341E+15;Fatty Acyls;8.65722E+15;Lipids and lipid-like molecules;9.55038E+15;"Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Fatty amides; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; N-acylethanolamines; Secondary carboxylic acid amides; Carbonyl compounds; 1,2-aminoalcohols; Amines; Alkanolamines; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"
778;C16H33NO;[M + H]+;Fatty acids;9.35577E+15;Fatty amides;9.5673E+15;Primary amides;9.16433E+15;Fatty amides;5.64342E+15;;;Fatty amides;5.64342E+15;Fatty Acyls;5.00084E+15;Lipids and lipid-like molecules;6.35055E+15;"Organic compounds; Lipids and lipid-like molecules; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Carboxylic acid amides; Carboxylic acid derivatives; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"
779;C25H20N2;[M + H]+;Alkaloids;9.89452E+15;Tryptophan alkaloids;9.83245E+15;Carbazole alkaloids;5.25624E+15;Indoles;9.76811E+15;;;Indoles;9.76811E+15;Indoles and derivatives;9.73313E+15;Organoheterocyclic compounds;9.93666E+15;"Organic compounds; Organoheterocyclic compounds; Pyrroles; Indoles and derivatives; Organonitrogen compounds; Benzene and substituted derivatives; Benzenoids; Indoles; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organic nitrogen compounds; Chemical entities"
780;C31H61N7O5;[M + H]+;Fatty acids;6.60293E+15;Fatty amides;7.28218E+15;N-acyl amines;5.58512E+15;Peptides;8.4049E+15;Peptides;8.4049E+15;Amino acids, peptides, and analogues;8.96766E+15;Carboxylic acids and derivatives;9.55694E+15;Organic acids and derivatives;9.88246E+15;"Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Peptides; Monoalkylamines; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; N-acyl-alpha amino acids and derivatives; Secondary carboxylic acid amides; Carbonyl compounds; Alpha amino acid amides; Amines; Primary amines; Alkanolamines; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"
782;C17H15N;[M + H]+;Alkaloids;9.05984E+15;Tryptophan alkaloids;5.44683E+15;Carbazole alkaloids;2.93377E+16;Naphthalenes;6.70133E+14;;;;;Naphthalenes;6.70133E+14;Benzenoids;9.99965E+15;"Organic compounds; Organoheterocyclic compounds; Naphthalenes; Organonitrogen compounds; Benzene and substituted derivatives; Benzenoids; Amines; Secondary amines; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic nitrogen compounds; Chemical entities"
783;C25H22N2;[M + H]+;Alkaloids;9.47014E+15;Tryptophan alkaloids;9.00935E+15;Simple indole alkaloids;8.66718E+15;Aromatic monoterpenoids;8.7626E+15;Aromatic monoterpenoids;8.7626E+15;Monoterpenoids;8.75281E+15;Prenol lipids;8.18988E+15;Lipids and lipid-like molecules;8.06025E+15;"Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Aromatic monoterpenoids; Pyrroles; Indoles and derivatives; Prenol lipids; Organonitrogen compounds; Toluenes; Monoterpenoids; Substituted pyrroles; Benzene and substituted derivatives; Benzenoids; Indoles; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; 3-alkylindoles; Organopnictogen compounds; Organic nitrogen compounds; Chemical entities"
785;C29H64N7;[M + H]+;Alkaloids;9.89628E+15;Guanidine alkaloids;8.34468E+15;Acyclic guanidine alkaloids;7.9606E+15;Guanidines;9.9918E+15;;;Guanidines;9.9918E+15;Organonitrogen compounds;9.99845E+15;Organic nitrogen compounds;1E+16;"Organic compounds; Organonitrogen compounds; Guanidines; Carboximidamides; Organic cations; Hydrocarbon derivatives; Organopnictogen compounds; Organic nitrogen compounds; Chemical entities"
786;C34H57N5O2;[M + H]+;Fatty acids;8.7298E+15;Fatty amides;6.2062E+15;N-acyl amines;6.66727E+15;N-acyl amines;9.58154E+15;N-acyl amines;9.58154E+15;Fatty amides;9.49356E+14;Fatty Acyls;9.24463E+15;Lipids and lipid-like molecules;8.16502E+15;"Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Secondary carboxylic acid amides; Carbonyl compounds; Amines; Fatty Acyls; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"
789;C22H40N6O4;[M + H]+;Amino acids and Peptides;7.15744E+15;Small peptides;8.02631E+15;Tripeptides;5.49249E+15;Oligopeptides;5.20781E+15;Peptides;9.85856E+15;Amino acids, peptides, and analogues;9.98233E+14;Carboxylic acids and derivatives;9.8182E+15;Organic acids and derivatives;9.85721E+14;"Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Peptides; Monoalkylamines; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; N-acyl-alpha amino acids and derivatives; Primary carboxylic acid amides; Secondary carboxylic acid amides; Carbonyl compounds; Alpha amino acid amides; Amines; Primary amines; Carboximidamides; Organic 1,3-dipolar compounds; Propargyl-type 1,3-dipolar organic compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Oligopeptides; Chemical entities"
790;C37H68O5;[M + Na]+;Fatty acids;9.9982E+15;Glycerolipids;9.99208E+15;Diacylglycerols;9.98537E+15;1,2-diacylglycerols;9.98133E+15;Diacylglycerols;9.90342E+15;Diradylglycerols;9.95605E+15;Glycerolipids;9.99273E+15;Lipids and lipid-like molecules;9.96552E+15;"Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Glycerolipids; Organic acids and derivatives; Carboxylic acids and derivatives; Primary alcohols; Organooxygen compounds; Fatty acid esters; Dicarboxylic acids and derivatives; Carboxylic acid derivatives; Diacylglycerols; Carboxylic acid esters; 1,2-diacylglycerols; Carbonyl compounds; Diradylglycerols; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities"
791;C28H43O4P;[M + H]+;Shikimates and Phenylpropanoids;5.10121E+15;Glycerophospholipids;7.43867E+15;Flavanones;1.48475E+16;Aryl phosphotriesters;9.74401E+15;Aryl phosphates;9.94117E+15;Phosphate esters;9.99972E+15;Organic phosphoric acids and derivatives;9.99993E+14;Organic acids and derivatives;9.96897E+15;"Organic compounds; Organic acids and derivatives; Organooxygen compounds; Organic phosphoric acids and derivatives; Phosphate esters; Benzene and substituted derivatives; Benzenoids; Alkyl phosphates; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Aryl phosphates; Aryl phosphotriesters; Phenoxy compounds; Chemical entities"
792;C20H40N4O10;[M + H]+;Carbohydrates;9.98013E+15;Aminosugars and aminoglycosides;8.87619E+15;Aminoglycosides;3.84238E+16;2-deoxystreptamine aminoglycosides;9.99903E+14;Aminosaccharides;9.99942E+15;Carbohydrates and carbohydrate conjugates;9.99987E+15;Organooxygen compounds;10;Organic oxygen compounds;10;"Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Amino acids, peptides, and analogues; Alcohols and polyols; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Aminoglycosides; Organooxygen compounds; Amino acids and derivatives; Monoalkylamines; Cyclic alcohols and derivatives; Monosaccharides; Acetals; Secondary alcohols; Tertiary alcohols; Aminocyclitol glycosides; Carbonyl compounds; 1,2-aminoalcohols; Oxanes; Glycosyl compounds; O-glycosyl compounds; Amines; Primary amines; Alkanolamines; Cyclitols and derivatives; Aminocyclitols and derivatives; Cyclohexanols; Cyclohexylamines; Aminosaccharides; 2-deoxystreptamine aminoglycosides; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"
793;C30H49N5O6;[M + H]+;Amino acids and Peptides;9.35961E+14;Oligopeptides;6.28049E+15;Tripeptides;5.91124E+15;Oligopeptides;8.49222E+15;Peptides;9.67584E+14;Amino acids, peptides, and analogues;9.90608E+14;Carboxylic acids and derivatives;9.98883E+15;Organic acids and derivatives;9.99655E+13;"Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Peptides; Monoalkylamines; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; N-acyl-alpha amino acids and derivatives; Secondary alcohols; Primary carboxylic acid amides; Secondary carboxylic acid amides; Carbonyl compounds; Benzene and substituted derivatives; Alpha amino acid amides; Benzenoids; Primary amines; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Serine and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Oligopeptides; Chemical entities"
794;C13H35N13O6;[M + H]+;Amino acids and Peptides;7.74823E+15;Small peptides;8.59881E+15;Tripeptides;6.40196E+15;Peptides;9.16126E+15;Peptides;9.16126E+15;Amino acids, peptides, and analogues;9.96765E+15;Carboxylic acids and derivatives;9.95915E+15;Organic acids and derivatives;9.99949E+15;"Organic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Amino acids and derivatives; Peptides; Guanidines; Monoalkylamines; Carboxylic acid amides; Carboxylic acid derivatives; Secondary carboxylic acid amides; Carbonyl compounds; Alpha amino acid amides; Amines; Primary amines; Carboximidamides; Organic oxides; Hydrocarbon derivatives; Serine and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"
795;C26H51NO2;[M + H]+;Fatty acids;9.99118E+15;Fatty amides;9.4443E+15;N-acyl ethanolamines (endocannabinoids);5.74339E+15;N-acyl amines;9.86963E+15;N-acyl amines;9.86963E+15;Fatty amides;9.7482E+15;Fatty Acyls;9.36891E+15;Lipids and lipid-like molecules;9.65294E+15;"Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Fatty amides; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; N-acylethanolamines; Secondary carboxylic acid amides; Carbonyl compounds; 1,2-aminoalcohols; Amines; Alkanolamines; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"
797;C38H44O10;[M + H]+;Shikimates and Phenylpropanoids;9.33995E+15;Flavonoids;4.23366E+15;Dimeric phloroglucinols;4.69306E+15;Pyranochromenes;5.97613E+15;Pyranochromenes;5.97613E+15;1-benzopyrans;8.23689E+15;Benzopyrans;8.20006E+15;Organoheterocyclic compounds;9.77213E+15;"Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Ketones; Benzopyrans; Alkyl aryl ethers; Alcohols and polyols; Phenols; Chromones; Ethers; Organic acids and derivatives; Benzoyl derivatives; Organooxygen compounds; Phloroglucinols and derivatives; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; 1-benzopyrans; Cyclic ketones; Pyranochromenes; Aryl ketones; Vinylogous acids; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Cyclohexenones; Organic oxygen compounds; Chemical entities"
798;C31H53N11O10;[M + H]+;Amino acids and Peptides;9.94569E+15;Oligopeptides;8.94731E+15;Linear peptides;5.85385E+15;Oligopeptides;7.86494E+15;Peptides;9.95391E+14;Amino acids, peptides, and analogues;9.97883E+14;Carboxylic acids and derivatives;9.96248E+15;Organic acids and derivatives;9.99727E+15;"Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Phenylpropanoids and polyketides; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Peptides; Monoalkylamines; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; N-acyl-alpha amino acids and derivatives; Primary carboxylic acid amides; Secondary carboxylic acid amides; Carbonyl compounds; Alpha amino acid amides; Benzenoids; Amines; Primary amines; Fatty Acyls; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Asparagine and derivatives; Serine and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Oligopeptides; Chemical entities"
799;C32H42N6O8;[M + H]+;Amino acids and Peptides;5.59205E+15;Oligopeptides;7.25512E+15;Cyclic peptides;8.94702E+15;Alpha amino acids and derivatives;9.55763E+15;Amino acids and derivatives;9.954E+15;Amino acids, peptides, and analogues;9.96488E+15;Carboxylic acids and derivatives;9.96388E+15;Organic acids and derivatives;9.98723E+15;"Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Macrolactams; Alcohols and polyols; Lactams; Pyrrolidines; Phenylpropanoids and polyketides; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; Secondary carboxylic acid amides; Tertiary carboxylic acid amides; Carbonyl compounds; Diazinanes; Benzenoids; Amines; Secondary amines; Tertiary amines; Secondary alkylarylamines; Organic oxides; Azacyclic compounds; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"
800;C18H34O2;[M + H]+;Fatty acids;9.93375E+15;Fatty Acids and Conjugates;9.43407E+14;Unsaturated fatty acids;9.64988E+14;Long-chain fatty acids;8.79278E+14;Long-chain fatty acids;8.79278E+14;Fatty acids and conjugates;9.9451E+14;Fatty Acyls;9.97561E+15;Lipids and lipid-like molecules;9.93645E+14;"Organic compounds; Lipids and lipid-like molecules; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Straight chain fatty acids; Unsaturated fatty acids; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Long-chain fatty acids; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities"
801;C20H38O4;[M + H]+;Fatty acids;9.70453E+15;Fatty esters;4.17348E+16;Monoacylglycerols;2.64826E+14;Fatty alcohols;5.85283E+15;;;Fatty alcohols;5.85283E+15;Fatty Acyls;9.69949E+15;Lipids and lipid-like molecules;9.57342E+15;"Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Fatty acid esters; Dicarboxylic acids and derivatives; Carboxylic acid derivatives; Carboxylic acid esters; Fatty alcohols; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities"
802;C32H50O16;[M + H]+;Terpenoids;9.76709E+15;Sesquiterpenoids;5.33755E+14;Acyclic monoterpenoids;1.56811E+15;Terpene glycosides;8.6679E+15;;;Terpene glycosides;8.6679E+15;Prenol lipids;6.42781E+15;Lipids and lipid-like molecules;9.85695E+15;"Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Lipids and lipid-like molecules; Alcohols and polyols; Ethers; Prenol lipids; Organic acids and derivatives; Carboxylic acids and derivatives; Primary alcohols; Organooxygen compounds; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acid esters; Cyclic alcohols and derivatives; Disaccharides; Acetals; Secondary alcohols; Tertiary alcohols; Fatty acyl glycosides; Carbonyl compounds; Oxanes; Terpene glycosides; Glycosyl compounds; O-glycosyl compounds; Polyols; Fatty Acyls; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities"
803;C20H38O4;[M + Na]+;Fatty acids;8.86879E+15;Fatty acyls;8.22622E+15;Fatty alcohols;7.35264E+15;Long-chain fatty alcohols;9.12044E+15;Long-chain fatty alcohols;9.12044E+15;Fatty alcohols;6.65954E+15;Fatty Acyls;9.34381E+15;Lipids and lipid-like molecules;9.48341E+14;"Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Dicarboxylic acids and derivatives; Carboxylic acid derivatives; Carboxylic acid esters; Fatty alcohols; Fatty alcohol esters; Carbonyl compounds; Long-chain fatty alcohols; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities"
